name,geoid,Total Population,Total above poverty level,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Male,Total Male below poverty rate,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Female ,Total Female below poverty rate,Total below poverty ,Total below Poverty Rate ,White ,Black or African American,American Indian and Alaska Native,Asian,Not Hispanic or Latino,Native Hawaiian and other pacific islander,Some other race alone,Two or more races,Two races including some other race,"Two races including some other race, and three or more races","Less than $10,000k","$10k to $14,999","$15k to $19,999","$20k to $24,999","$25k to $29,999","$30k to $34,999","$35k to $39,999","$40k to $44,999","$45k to $49,999","$50k to $59,999","$60k to $74,999","$70k to $99,999","$100k to $124,999","$125k to $149,999","$150k to $199,000",$200k or more,Total education attainment for over 25 years olds,Total Households income,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffessional School degree,doctorate degree,Total Male,At least bachelor's dg Total,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffesional School degree,doctorate degree,Total Female,At least bachelor's dg Total
Georgia,04000US13,"10,516,579","8,776,797","73,869","13,291","89,511","39,536","13,105","22,715","83,671","70,871","59,648","56,247","62,847","34,076","18,239","637,626",6.06%,"68,569","13,112","87,800","38,379","12,903","22,687","103,312","125,970","97,599","79,052","81,829","51,747","40,987","823,946",7.83%,"10,238,369",13.90%,"5,478,289","3,275,581","17,433","430,473","9,503,522","5,441","38,425","257,880","25,446","232,434","251,018","160,845","169,058","175,354","179,132","175,847","162,103","167,228","148,924","289,616","383,783","486,119","343,766","225,337","241,942","270,192","6,996,425","3,830,264","51,146","20,841","40,713","51,673","59,631","81,122","79,736","63,460","963,114","181,163","468,118","228,379","644,377","258,195","78,837","48,917","3,319,422","1,030,326","49,371","15,520","34,987","47,642","49,221","67,893","75,632","60,065","962,260","219,071","541,665","331,340","732,934","360,916","78,704","49,782","3,677,003","1,222,336"
Hawaii,04000US15,"1,420,074","1,253,606","5,401",968,"5,897","2,496",859,"2,047","6,288","6,679","5,824","5,398","7,535","5,443","3,715","58,550",4.12%,"5,745",734,"5,306","2,354",787,"1,981","7,162","10,464","8,072","6,590","8,088","5,753","6,385","69,421",4.89%,"1,381,577",9.01%,"306,360","25,130","2,100","522,125","1,267,508","137,046","2,539","272,208","2,352","269,856","22,748","12,622","11,638","13,872","13,561","15,831","14,391","16,851","14,321","29,597","45,613","64,223","52,742","38,327","48,926","52,669","996,423","467,932","4,852","2,116","3,681","3,181","3,813","5,096","5,131","6,852","141,776","28,504","75,825","52,479","102,092","33,593","12,643","8,631","490,265","156,959","6,016","3,150","6,956","4,557","3,642","4,520","4,813","6,499","130,255","29,588","72,891","55,741","116,587","44,046","10,376","6,521","506,158","177,530"
Idaho,04000US16,"1,754,367","1,517,296","10,754","1,804","10,820","4,770","1,746","3,234","16,136","11,804","8,541","7,092","8,719","4,805","3,204","93,429",5.33%,"9,068","1,600","10,048","4,635","1,524","3,000","20,332","16,296","11,891","9,594","10,673","6,829","6,757","112,247",6.40%,"1,722,972",11.72%,"1,427,529","10,558","18,866","23,603","1,531,400","2,611","3,235","44,998","5,524","39,474","32,425","25,981","28,203","31,293","29,437","33,402","30,233","32,445","28,275","58,977","76,701","84,774","60,414","33,665","32,234","30,840","1,145,344","649,299","5,588","2,722","5,307","5,262","5,310","8,227","10,394","11,306","157,384","44,583","95,814","51,912","103,612","37,814","11,681","9,766","566,682","162,873","4,984","2,630","4,586","4,657","4,783","7,138","9,129","8,166","148,333","52,082","105,936","60,764","117,480","36,439","6,453","5,102","578,662","165,474"
Illinois,04000US17,"12,716,164","10,929,834","66,397","12,634","79,111","35,877","13,020","22,957","91,455","77,486","62,720","61,441","71,806","36,745","22,947","654,596",5.15%,"64,286","12,078","77,166","34,497","13,053","23,578","117,300","123,421","97,328","75,473","86,564","54,952","54,378","834,074",6.56%,"12,418,504",11.71%,"7,737,459","1,766,586","13,301","702,457","10,525,468","3,305","24,851","277,509","25,404","252,105","298,656","179,484","189,258","207,124","192,168","202,485","182,950","197,028","169,002","348,097","467,576","627,786","480,713","329,536","380,160","432,038","8,686,700","4,884,061","60,515","20,974","55,535","60,311","45,449","61,582","72,524","85,948","1,114,407","269,669","581,460","310,664","895,556","376,657","115,284","65,784","4,192,319","1,453,281","60,785","23,239","56,135","63,847","37,617","55,014","65,923","72,940","1,106,002","308,735","615,684","396,467","979,455","508,130","90,871","53,537","4,494,381","1,631,993"
Indiana,04000US18,"6,696,893","5,653,483","42,623","7,469","47,485","19,950","7,661","13,469","58,965","42,259","34,628","34,359","36,305","16,811","10,609","372,593",5.56%,"38,433","8,281","44,140","20,305","6,462","13,281","71,760","71,522","54,099","43,031","46,173","24,702","23,367","465,556",6.95%,"6,491,632",12.52%,"5,253,453","622,317","10,363","157,076","6,221,418","1,790","16,838","159,581","11,436","148,145","153,094","107,633","119,508","126,718","123,239","133,389","119,928","124,414","108,463","218,540","282,397","350,910","237,551","143,842","135,082","118,062","4,466,180","2,602,770","23,597","6,251","13,055","40,132","32,142","43,897","48,428","38,268","748,796","144,102","281,221","166,998","365,106","136,800","39,449","29,196","2,157,438","570,551","23,234","6,343","10,819","35,822","29,077","42,748","48,140","34,472","733,600","158,826","314,342","229,076","405,795","189,052","27,991","19,405","2,308,742","642,243"
Iowa,04000US19,"3,150,011","2,712,194","15,742","2,993","16,103","7,213","2,568","4,249","29,715","17,028","12,859","13,857","15,502","7,442","5,176","150,447",4.78%,"13,988","3,042","14,942","7,193","2,383","4,689","38,191","28,124","19,720","15,501","17,241","9,918","13,711","188,643",5.99%,"3,051,284",10.76%,"2,677,946","114,312","8,055","78,873","2,955,604","3,644","3,233","69,541","6,486","63,055","64,607","51,206","54,357","55,786","57,720","60,623","54,529","59,607","52,948","106,446","137,193","182,007","126,108","76,587","70,804","63,413","2,104,864","1,273,941","8,482","3,217","5,755","14,719","9,423","13,018","16,754","13,524","338,216","70,961","138,750","108,847","192,125","59,742","21,227","14,866","1,029,626","287,960","8,683","2,895","4,941","12,637","8,654","10,740","15,034","9,925","309,155","80,817","142,953","139,649","222,923","80,685","14,147","11,400","1,075,238","329,155"
Kansas,04000US20,"2,912,619","2,504,854","14,975","2,415","16,283","7,463","2,022","4,729","27,531","17,564","12,123","11,306","13,732","6,812","5,269","142,224",4.88%,"14,249","3,007","16,919","7,153","2,902","4,579","35,749","25,757","17,863","13,684","17,504","10,030","12,024","181,420",6.23%,"2,828,498",11.11%,"2,193,988","159,797","17,788","85,734","2,561,017","1,889","5,978","95,843","4,613","91,230","60,553","45,372","49,094","50,811","51,863","57,404","51,933","55,649","46,677","90,935","122,923","153,943","105,360","66,875","67,637","64,956","1,911,990","1,141,985","10,383","4,519","7,948","11,502","10,483","12,877","15,341","15,290","254,740","69,712","140,876","73,907","195,031","77,213","22,017","14,210","936,049","308,471","9,599","3,731","6,696","11,866","9,238","11,162","12,919","11,819","239,486","81,063","143,710","94,510","215,313","99,045","15,181","10,603","975,941","340,142"
Kentucky,04000US21,"4,461,952","3,604,986","32,867","6,322","38,014","15,764","6,142","10,798","40,241","36,800","33,149","32,579","36,557","17,694","9,976","316,903",7.10%,"32,395","6,487","36,870","16,467","6,118","9,779","51,696","56,722","45,906","41,952","46,229","26,198","24,173","400,992",8.99%,"4,322,881",16.09%,"3,751,738","356,048","7,075","67,524","4,294,003","2,691","9,350","99,577","6,889","92,688","142,210","95,952","90,786","91,372","91,319","90,912","80,886","81,763","72,800","139,738","174,062","216,004","142,961","84,763","79,127","73,398","3,034,491","1,748,053","17,242","6,242","11,633","44,900","30,773","36,171","34,435","24,232","508,889","94,413","203,833","101,782","217,129","84,860","29,752","17,345","1,463,631","349,086","15,362","4,446","8,763","43,397","25,725","34,617","30,799","20,905","481,307","109,326","227,756","158,211","230,755","138,726","26,059","14,706","1,570,860","410,246"
Louisiana,04000US22,"4,664,616","3,686,957","44,699","6,452","48,349","24,177","7,525","14,279","43,037","43,851","33,303","31,017","38,837","19,255","11,062","365,843",7.84%,"42,931","7,309","47,645","21,340","7,177","12,877","60,635","76,340","53,454","45,755","51,381","28,713","23,830","479,387",10.28%,"4,532,187",18.12%,"2,720,638","1,489,071","23,328","79,976","4,421,244","1,527","12,922","93,782","6,434","87,348","155,441","96,888","99,022","114,060","94,619","84,128","74,276","75,120","69,140","133,413","151,853","199,702","138,850","88,853","93,472","83,119","3,139,520","1,751,956","20,335","6,774","16,635","37,241","33,733","44,834","51,637","28,965","526,718","80,773","230,892","84,749","219,405","69,788","30,579","17,462","1,500,520","337,234","19,048","5,204","12,465","29,789","26,186","37,062","46,385","27,883","517,638","99,127","254,689","120,211","280,593","125,891","23,570","13,259","1,639,000","443,313"
Maine,04000US23,"1,340,825","1,159,654","4,763","1,011","6,304","2,459","1,113","2,044","7,580","8,319","5,973","7,467","9,453","4,506","3,185","64,177",4.79%,"4,824","1,084","5,845","1,929",834,"1,857","9,510","11,595","8,637","8,017","10,877","7,153","8,045","80,207",5.98%,"1,304,038",10.77%,"1,242,113","17,761","8,011","15,157","1,317,682",159,"2,283","32,198","4,527","27,671","30,114","27,909","27,246","27,820","25,798","27,314","25,938","25,383","23,242","46,102","58,994","78,697","52,560","32,998","31,530","27,906","982,385","569,551","2,481",857,"1,371","7,747","5,372","6,638","6,783","6,138","159,294","29,678","61,296","44,725","88,526","32,894","11,342","7,164","472,306","139,926","2,806",742,886,"5,328","4,215","5,758","5,187","4,216","148,163","30,832","67,020","55,677","111,220","52,998","8,824","6,207","510,079","179,249"
