name,geoid,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
Mississippi,04000US28,"2,883,074",1037,"564,439",10503,241674,5753,27060,1420,4684,531,34489,1528,16260,1249,4976,568,9071,825,31664,1701,25840,1480,22996,1311,19859,1096,24409,1134,12458,906,7908,684,322765,6046,26106,1513,"5,288",773,"33,342",1528,15281,1018,4991,616,9791,705,39216,1760,46967,1861,38986,1633,30508,1304,33780,1337,20399,1088,18110,869,2318635,10286,1139030,5807,66017,1512,13015,948,86165,2196,45263,1718,14714,770,31953,1092,99259,1834,152710,1809,146467,1371,150427,1634,152309,1231,115815,979,64916,848,1179605,6081,62397,1507,12544,941,83147,2072,42551,1528,14342,956,30459,979,86624,1875,148044,1891,151772,1755,159715,1394,167178,1458,130195,1296,90637,951
Missouri,04000US29,"5,942,813",1800,"772,992",11899,343547,6438,34751,1702,6567,619,40585,1791,17577,1078,6263,493,11682,833,50192,1903,40707,2045,30819,1446,32827,1347,40544,1481,18760,1214,12273,752,429445,6620,35104,1512,"5,858",606,"38,733",1629,18115,1170,6121,570,12571,831,62751,1946,63021,1776,45399,1981,40094,1515,46563,1663,28104,1118,27011,989,5169821,12284,2556947,6982,151227,1736,30111,1472,190874,2710,98924,2252,32473,1161,68281,1476,205936,2390,355448,2235,330194,1643,330009,1542,351875,1573,253842,1259,157753,969,2612874,6880,141759,1758,28951,1171,178831,2242,97065,2212,31795,1185,63693,1480,183764,2529,343120,1821,326946,2093,340887,1547,377522,1900,285780,1312,212761,1287
Montana,04000US30,"1,036,490",671,"132,476",3658,62992,2252,5966,646,868,174,5999,567,2674,465,629,171,1851,307,11860,910,7840,666,5991,526,5264,539,6972,558,4541,495,2537,323,69484,2054,4237,460,725,147,"5,652",529,2685,345,1011,221,1518,265,12561,820,10171,639,7033,598,5553,521,8273,555,5420,488,4645,407,904014,3725,457234,2412,25313,725,4926,463,33287,930,16417,813,5474,375,11386,452,35172,975,60393,748,58009,747,54519,730,66192,676,54474,510,31672,402,446780,2249,24504,633,4673,464,31698,939,15824,726,5034,399,10759,433,29670,776,55976,847,54991,694,54215,562,69281,607,54320,520,35835,496
Nebraska,04000US31,"1,869,467",825,"193,820",4792,86238,2840,9381,776,1660,356,9746,793,4103,503,1436,252,2893,362,15688,1037,10728,721,7278,704,7493,598,8118,693,4424,369,3290,295,107582,2532,8634,711,"1,715",335,"9,581",716,3744,470,1202,204,2733,296,20805,1039,15176,818,10358,673,8668,590,9966,587,6114,474,8886,533,1675647,4953,844030,3019,56585,834,11458,599,70408,1534,35622,1189,12035,548,23488,695,68638,1039,117007,1024,112022,845,102572,757,109945,803,76858,472,47392,428,831617,2602,53732,769,11650,717,66924,1512,33623,1092,11130,615,22087,636,60445,1078,108678,863,107325,776,99855,708,112133,692,82717,549,61318,582
Nevada,04000US32,"2,987,817",1191,"381,695",8350,173998,4311,18353,1098,3267,515,21440,1404,9693,828,2606,416,6391,705,17961,1319,21526,1138,17376,1119,16465,1108,20207,1141,12180,842,6533,629,207697,4798,16458,1088,"3,333",443,"19,338",1177,8798,832,3133,365,6195,682,22750,1280,32703,1649,26493,1131,21731,1075,21875,1008,14789,891,10101,740,2606122,8271,1317272,4386,73666,1268,14653,1006,96808,1894,49177,1574,15836,713,33257,1009,105762,1366,198993,1264,181430,1194,179990,1291,162806,1183,128496,897,76398,702,1288850,4885,71637,1162,13937,989,92720,1784,48322,1640,16297,949,30256,1006,95774,1306,183333,1746,171854,1200,171919,1124,167578,1035,137685,951,87538,737
New Hampshire,04000US33,"1,312,770",746,"97,418",3403,42476,2104,3126,475,898,270,3344,457,1864,365,496,153,1334,291,6717,728,4720,524,3588,512,4494,602,6408,637,3331,453,2156,392,54942,1914,2938,402,396,154,"4,657",611,1340,306,862,189,1254,343,7648,631,8886,715,5914,561,5221,562,6891,645,4369,516,4566,537,1215352,3373,608379,2173,28657,528,6272,585,40328,1160,20386,1009,7418,464,15378,573,46741,819,80803,587,72613,596,88684,668,97112,668,67046,576,36941,484,606973,1970,27583,544,5763,529,36348,995,20549,903,7003,525,14207,520,42052,787,72242,738,71801,613,90541,619,100365,709,71211,599,47308,704
New Jersey,04000US34,"8,713,792",1637,"842,704",14941,367044,7729,37991,2098,7993,821,44474,1843,21059,1297,7120,644,12936,1061,41296,2141,40887,1929,36395,1752,38525,1630,38048,1680,22797,1289,17523,1056,475660,8567,35631,1776,"6,345",617,"42,741",2037,21269,1299,7352,726,12641,867,47513,2036,64531,2024,59708,2068,49545,1955,50199,1676,36561,1236,41624,1691,7871088,15009,3874885,7893,224125,2164,45608,1841,282732,3745,148511,2849,50381,1415,101966,1461,314904,2109,527284,2168,516669,1971,555018,1911,539389,1859,347002,1469,221296,1263,3996203,8834,213893,1794,43281,1512,272948,2964,142402,2528,48273,1491,98674,1729,294180,2145,497108,2058,512096,2102,581052,1969,574507,1795,399852,1291,317937,1822
New Mexico,04000US35,"2,053,909",876,"381,026",7765,174937,4117,18319,1144,3623,692,21034,1212,10233,969,2477,398,7087,727,20510,1137,20458,1212,17790,1099,15587,911,19978,1362,11331,768,6510,490,206089,4648,17758,1127,"3,134",576,"18,807",1169,9635,928,2710,383,6556,531,25619,1306,29703,1333,24692,1479,18750,1087,21814,1060,15260,893,11651,828,1672883,7674,833299,4131,43211,1199,8632,726,61665,1671,33284,1412,10374,716,22092,975,75043,1275,119268,1375,105047,1265,99765,1037,108538,1393,90171,869,56209,569,839584,4672,41526,1184,8150,812,62531,1757,30789,1230,9547,760,21710,928,65025,1317,106569,1428,101062,1610,103593,1080,120476,1018,99059,943,69547,948
New York,04000US36,"19,009,098",2667,"2,581,048",26021,1131023,12347,111679,3548,22617,1329,125833,3089,59663,1870,20440,1048,39725,1575,138607,3231,139228,3256,110701,2939,113014,2509,123801,2761,73266,2066,52449,1920,1450025,15751,108525,2938,"19,661",1080,"121,361",3311,58704,2180,19373,1105,38622,1608,165227,3638,209728,3793,173470,3693,145434,3172,155793,2921,112740,2984,121387,2777,16428050,26096,8067481,12666,459876,3484,86279,2693,539983,4660,286731,4086,94646,2005,193496,2352,646904,3438,1263959,3469,1064604,3108,1107042,2654,1099248,2926,748388,2076,476325,2064,8360569,15901,438055,3172,83088,2587,516996,4569,271877,3589,91604,1854,185779,2155,612212,3993,1215914,3820,1056201,3588,1161856,3148,1185223,3171,861080,2965,680684,2789
North Carolina,04000US37,"10,098,330",2221,"1,411,939",17543,613309,9025,63163,2246,12012,986,81367,2644,34952,1660,11850,882,22470,1326,80984,2787,69213,2304,58254,2397,56291,1651,68030,1980,33609,1435,21114,1504,798630,10407,68043,2493,"12,511",917,"77,018",2524,34227,1683,12669,981,22141,1189,102631,2795,120126,2618,91560,2773,78572,2496,81835,2123,48964,1673,48333,2466,8686391,18174,4267356,9354,240545,2530,46658,1808,309134,3280,164178,3197,54671,1622,111880,1809,347760,3108,598520,2806,562516,2500,600522,2155,559893,2100,425854,1705,245225,1723,4419035,10569,222537,2550,47329,1755,294642,3634,155831,3233,52733,1462,108612,1788,313386,3026,578559,2646,575451,2695,623463,2513,620723,2279,493412,1816,332357,2540
